turma_id,semestre,codigo,disciplina,turma,origem,horario_observado,dias_observados,horario_fixo,fonte,validado
2026-1-TCC00315-A1,2026-1,TCC00315,SISTEMAS DISTRIBUÍDOS,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00316-A1,2026-1,TCC00316,SISTEMAS OPERACIONAIS,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00318-A1,2026-1,TCC00318,PESQUISA OPERACIONAL,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00324-A1,2026-1,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00328-A1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,A1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00328-B1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,B1,IC,segunda 16:00-18:00; quarta 16:00-18:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00328-C1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,C1,IC,segunda 11:00-13:00; quarta 11:00-13:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00330-A1,2026-1,TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00331-A1,2026-1,TCC00331,ESTRUTURAS DE DADOS PARA SI,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00331-B1,2026-1,TCC00331,ESTRUTURAS DE DADOS PARA SI,B1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00332-A1,2026-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00332-B1,2026-1,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,B1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00334-A1,2026-1,TCC00334,PRINCÍPIOS DE BANCO DE DADOS,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00335-A1,2026-1,TCC00335,PROJETO DE BANCO DE DADOS PARA SI,A1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00336-A1,2026-1,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00336-Z1,2026-1,TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,Z1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00337-A1,2026-1,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00338-A1,2026-1,TCC00338,PROJETO DE SOFTWARE,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00341-A1,2026-1,TCC00341,SEGURANÇA DA INFORMAÇÃO,A1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00344-AA,2026-1,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,AA,IC,segunda 07:00-09:00; quarta 07:00-09:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00346-AA,2026-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,AA,IC,terca 16:00-18:00,terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00346-BA,2026-1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,BA,IC,quinta 16:00-18:00,quinta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00347-A1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00347-B1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,B1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00347-X1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,X1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00348-A1,2026-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,A1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00348-B1,2026-1,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,B1,IC,terca 11:00-13:00; quinta 11:00-13:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00349-A1,2026-1,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,IC,terca 09:00-11:00; quinta 09:00-11:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00354-A1,2026-1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,IC,terca 18:00-20:00; quinta 18:00-20:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00354-B1,2026-1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,IC,terca 20:00-22:00; quinta 20:00-22:00,quinta;terca,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00355-EA,2026-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00355-FA,2026-1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,FA,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00356-A1,2026-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,A1,IC,segunda 18:00-20:00; quarta 18:00-20:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00356-B1,2026-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,B1,IC,segunda 20:00-22:00; quarta 20:00-22:00,quarta;segunda,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00357-A1,2026-1,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,A1,IC,sexta 18:00-22:00,sexta,,ic; turmas_2026_cc_si.csv,
2026-1-TCC00358-A1,2026-1,TCC00358,SISTEMAS COMPUTACIONAIS,A1,IC,quinta 18:00-22:00,quinta,,ic; turmas_2026_cc_si.csv,
