codigo,disciplina,origem,setor_historico_2025,dias_observados_2026,dias_setor_historico,setor_oficial,fonte,validado
TCC00316,SISTEMAS OPERACIONAIS,IC,ARQ.SO.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00318,PESQUISA OPERACIONAL,IC,ALG.CPX.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,IC,GER.SIST.TI,quarta;segunda;sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00328,PROG. ORIENTADA A OBJETOS,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,IC,ENG.SOFT.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00330,MODELAGEM DE PROCESSOS DE NEGÓCIOS,IC,GER.SIST.TI,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00330,MODELAGEM DE PROCESSO DE NEGÓCIOS,IC,GER.SIST.TI,sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00331,ESTRUTURAS DE DADOS PARA SI,IC,ESTR.PROG.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,IC,GER.SIST.TI,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00334,PRINCIPIO DE BANCO DE DADOS,IC,B.D.,quarta;sexta,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00334,PRINCÍPIOS DE BANCO DE DADOS,IC,B.D.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00335,PROJETO DE BANCO DE DADOS,IC,B.D.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00335,PROJETO DE BANCO DE DADOS PARA SI,IC,B.D.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00336,BANCO DE DADOS NÃO CONVENCIONAIS,IC,B.D.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00336,BANCOS DE DADOS NÃO CONVENCIONAIS,IC,B.D.,quarta;quinta;segunda;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,IC,IHC,quarta;quinta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00338,PROJETO DE SOFTWARE,IC,ENG.SOFT.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00341,SEGURANÇA DA INFORMAÇÃO,IC,REDES,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00344,LAB. DE PROGRAMAÇÃO PARALELA,IC,ARQ.SO.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,IC,ARQ.SO.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00346,LAB. DE RESOLUÇÃO DE PROBLEMAS,IC,ESTR.PROG.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,IC,ESTR.PROG.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00347,PROGRAMAÇÃO ESTRUTURADA,IC,ESTR.PROG.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,IC,ESTR.PROG.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00349,AVALIAÇÃO DE DESEMPENHO,IC,REDES,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,IC,ALG.CPX.,quinta;terca,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,IC,ESTR.PROG.,quarta;segunda,,,turmas_2025.csv; dias_por_setor_2025.csv; horarios_2026_cc_si.csv,
