turma_id,semestre,codigo,turma,dia,inicio,fim,sala,valor_original
2025-2-TCC00292-A1,2025-2,TCC00292,A1,quarta,09:00,11:00,213,"09/11
213"
2025-2-TCC00293-A1,2025-2,TCC00293,A1,segunda,07:00,09:00,213,"07/09
213"
2025-2-TCC00293-A1,2025-2,TCC00293,A1,quarta,07:00,09:00,213,"07/09
213"
2025-2-TCC00348-A1,2025-2,TCC00348,A1,terca,11:00,13:00,204,"11/13
204"
2025-2-TCC00348-A1,2025-2,TCC00348,A1,quinta,11:00,13:00,204,"11/13
204"
2025-2-TCC00348-B1,2025-2,TCC00348,B1,terca,07:00,09:00,202,"7/9
202"
2025-2-TCC00348-B1,2025-2,TCC00348,B1,quinta,07:00,09:00,202,"7/9
202"
2025-2-TCC00331-A1,2025-2,TCC00331,A1,segunda,18:00,20:00,215,"18/20
215"
2025-2-TCC00331-A1,2025-2,TCC00331,A1,quarta,18:00,20:00,L302,"18/20
L302"
2025-2-TCC00296-A1,2025-2,TCC00296,A1,terca,14:00,16:00,302,"14/16
302"
2025-2-TCC00296-A1,2025-2,TCC00296,A1,quinta,14:00,16:00,302,"14/16
302"
2025-2-TCC00296-B1,2025-2,TCC00296,B1,terca,14:00,16:00,215,"14/16
215"
2025-2-TCC00296-B1,2025-2,TCC00296,B1,quinta,14:00,16:00,215,"14/16
215"
2025-2-TCC00332-A1,2025-2,TCC00332,A1,terca,18:00,20:00,319,"18/20
319"
2025-2-TCC00332-A1,2025-2,TCC00332,A1,quinta,18:00,20:00,319,"18/20
319"
2025-2-TCC00332-B1,2025-2,TCC00332,B1,terca,20:00,22:00,204,"20/22
204"
2025-2-TCC00332-B1,2025-2,TCC00332,B1,quinta,20:00,22:00,204,"20/22
204"
2025-2-TCC00354-A1,2025-2,TCC00354,A1,terca,18:00,20:00,308,"18/20
308"
2025-2-TCC00354-A1,2025-2,TCC00354,A1,quinta,18:00,20:00,308,"18/20
308"
2025-2-TCC00354-B1,2025-2,TCC00354,B1,terca,20:00,22:00,308,"20/22
308"
2025-2-TCC00354-B1,2025-2,TCC00354,B1,quinta,20:00,22:00,308,"20/22
308"
2025-2-TCC00363-A1,2025-2,TCC00363,A1,terca,18:00,20:00,202,"18/20
202"
2025-2-TCC00363-A1,2025-2,TCC00363,A1,quinta,18:00,20:00,202,"18/20
202"
2025-2-TCC00324-A1,2025-2,TCC00324,A1,sexta,18:00,22:00,404B,"18/22
404B"
2025-2-TCC00297-A1,2025-2,TCC00297,A1,terca,11:00,13:00,302,"11/13
302"
2025-2-TCC00297-A1,2025-2,TCC00297,A1,quinta,11:00,13:00,302,"11/13
302"
2025-2-TCC00298-A1,2025-2,TCC00298,A1,segunda,11:00,13:00,206,"11/13
206"
2025-2-TCC00298-A1,2025-2,TCC00298,A1,quarta,11:00,13:00,206,"11/13
206"
2025-2-TCC00337-A1,2025-2,TCC00337,A1,quinta,18:00,22:00,,18/22
2025-2-TCC00361-A1,2025-2,TCC00361,A1,sabado,18:00,22:00,,18/22
2025-2-TCC00300-A-A/B-A,2025-2,TCC00300,A-A/B-A,terca,14:00,18:00,L307,"14/18
L307"
2025-2-TCC00301-A-A/B-A,2025-2,TCC00301,A-A/B-A,terca,11:00,13:00,L305,"11/13
L305"
2025-2-TCC00301-A-A/B-A,2025-2,TCC00301,A-A/B-A,quinta,11:00,13:00,L305,"11/13
L305"
2025-2-TCC00344-A1,2025-2,TCC00344,A1,segunda,09:00,11:00,L305,"09/11
L305"
2025-2-TCC00344-A1,2025-2,TCC00344,A1,quarta,09:00,11:00,L305,"09/11
L305"
2025-2-TCC00346-A-A/C-A,2025-2,TCC00346,A-A/C-A,terca,16:00,18:00,L303,"16/18
L303"
2025-2-TCC00346-A-A/C-A,2025-2,TCC00346,A-A/C-A,quinta,16:00,18:00,L303,"16/18
L303"
2025-2-TCC00346-B-A/D-A,2025-2,TCC00346,B-A/D-A,terca,16:00,18:00,L305,"16/18
L305"
2025-2-TCC00346-B-A/D-A,2025-2,TCC00346,B-A/D-A,quinta,16:00,18:00,L305,"16/18
L305"
2025-2-TCC00355-E-A,2025-2,TCC00355,E-A,segunda,20:00,22:00,L303,"20/22
L303"
2025-2-TCC00355-E-A,2025-2,TCC00355,E-A,quarta,20:00,22:00,L303,"20/22
L303"
2025-2-TCC00355-F-A,2025-2,TCC00355,F-A,segunda,20:00,22:00,L305,"20/22
L305"
2025-2-TCC00355-F-A,2025-2,TCC00355,F-A,quarta,20:00,22:00,L305,"20/22
L305"
2025-2-TCC00304-A1,2025-2,TCC00304,A1,segunda,11:00,13:00,302,"11/13
302"
2025-2-TCC00304-A1,2025-2,TCC00304,A1,quarta,11:00,13:00,302,"11/13
302"
2025-2-TCC00305-A1,2025-2,TCC00305,A1,segunda,09:00,11:00,204,"09/11
204"
2025-2-TCC00305-A1,2025-2,TCC00305,A1,quarta,09:00,11:00,204,"09/11
204"
2025-2-TCC00306-A1,2025-2,TCC00306,A1,terca,09:00,11:00,404B,"09/11
404B"
2025-2-TCC00306-A1,2025-2,TCC00306,A1,quinta,09:00,11:00,404B,"09/11
404B"
2025-2-TCC00330-A1,2025-2,TCC00330,A1,segunda,18:00,22:00,204,"18/22
204"
2025-2-TCC00318-A1,2025-2,TCC00318,A1,sexta,09:00,13:00,,09/13
2025-2-TCC00334-A1,2025-2,TCC00334,A1,quarta,18:00,20:00,302,"18/20
302"
2025-2-TCC00334-A1,2025-2,TCC00334,A1,sexta,18:00,20:00,302,"18/20
302"
2025-2-TCC00307-A1,2025-2,TCC00307,A1,terca,07:00,09:00,217,"07/09
217"
2025-2-TCC00307-A1,2025-2,TCC00307,A1,quinta,07:00,09:00,217,"07/09
217"
2025-2-TCC00366-A1,2025-2,TCC00366,A1,segunda,18:00,20:00,308,"18/20
308"
2025-2-TCC00366-A1,2025-2,TCC00366,A1,quarta,18:00,20:00,308,"18/20
308"
2025-2-TCC00366-B1,2025-2,TCC00366,B1,segunda,18:00,20:00,302,"18/20
302"
2025-2-TCC00366-B1,2025-2,TCC00366,B1,quarta,18:00,20:00,302,"18/20
302"
2025-2-TCC00308-A1,2025-2,TCC00308,A1,segunda,16:00,18:00,313,"16/18
313"
2025-2-TCC00308-A1,2025-2,TCC00308,A1,quarta,16:00,18:00,313,"16/18
313"
2025-2-TCC00308-B1,2025-2,TCC00308,B1,segunda,16:00,18:00,308,"16/18
308"
