id,semestre,codigo,codigo_original,codigo_interno,disciplina,turma,turma_original,origem_codigo,categoria_observada,alocacao,professores,professores_qtd,alocacao_original,normalizacao_docente_verificada,status,pendencias,pagina_pdf,posicao_y,arquivo_origem
2026-1-TCC00312-A1,2026-1,TCC00312,TCC00312,TCC00312,PROJETO DE SOFTWARE,A1,A1,IC,nao_informada,Vania,Vania,1,VANIA NEVES,True,ativa,,4,366.895,dados/brutos/QH-2026-1.pdf
2026-1-TCC00338-A1,2026-1,TCC00338,TCC00338,TCC00338,PROJETO DE SOFTWARE,A1,A1,IC,nao_informada,Joao Pimentel,Joao Pimentel,1,JOÃO PIMENTEL,True,ativa,,4,395.455,dados/brutos/QH-2026-1.pdf
2026-1-TCC00311-A1,2026-1,TCC00311,TCC00311,TCC00311,PROJETO FINAL II,A1,A1,IC,nao_informada,Troy,Troy,1,TROY,True,incompleta,horario_ausente,4,424.015,dados/brutos/QH-2026-1.pdf
2026-1-TCC00365-A1,2026-1,TCC00365,TCC00365,TCC00365,QUALIDADE E TESTE DE SOFTWARE,A1,A1,IC,nao_informada,Vania,Vania,1,VANIA NEVES,True,ativa,,4,452.575,dados/brutos/QH-2026-1.pdf
2026-1-TCC00359-A1,2026-1,TCC00359,TCC00359,TCC00359,REDES DE COMPUTADORES,A1,A1,IC,nao_informada,Flavio Seixas,Flavio Seixas,1,FLAVIO SEIXAS,True,ativa,,4,481.135,dados/brutos/QH-2026-1.pdf
2026-1-TCC00359-Z1,2026-1,TCC00359,TCC00359,TCC00359,REDES DE COMPUTADORES,Z1,Z1,IC,nao_informada,Igor Moraes,Igor Moraes,1,IGOR MONTEIRO,True,ativa,,4,509.695,dados/brutos/QH-2026-1.pdf
2026-1-TCC00313-A1,2026-1,TCC00313,TCC00313,TCC00313,REDES DE COMPUTADORES I,A1,A1,IC,nao_informada,Celio,Celio,1,CELIO VINICIUS,True,ativa,,5,52.735,dados/brutos/QH-2026-1.pdf
2026-1-TCC00314-A1,2026-1,TCC00314,TCC00314,TCC00314,REDES DE COMPUTADORES II,A1,A1,IC,nao_informada,Celio,Celio,1,CELIO VINICIUS,True,ativa,,5,81.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00341-A1,2026-1,TCC00341,TCC00341,TCC00341,SEGURANÇA DA INFORMAÇÃO,A1,A1,IC,nao_informada,Raphael Machado,Raphael Machado,1,RAPHAEL MACHADO,True,ativa,,5,109.855,dados/brutos/QH-2026-1.pdf
2026-1-CGI00004-A1,2026-1,CGI00004,CGI00004,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,A1,A1,externa,nao_informada,Raphael Guerra,Raphael Guerra,1,RAPHAEL GUERRA,True,ativa,,5,138.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00358-A1,2026-1,TCC00358,TCC00358,TCC00358,SISTEMAS COMPUTACIONAIS,A1,A1,IC,nao_informada,Raphael Guerra,Raphael Guerra,1,RAPHAEL GUERRA,True,ativa,,5,166.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00358-B1,2026-1,TCC00358,TCC00358,TCC00358,SISTEMAS COMPUTACIONAIS,B1,B1,IC,nao_informada,Aline Nascimento,Aline Nascimento,1,ALINE NASCIMENTO,True,ativa,,5,195.535,dados/brutos/QH-2026-1.pdf
2026-1-TCC00315-A1,2026-1,TCC00315,TCC00315,TCC00315,SISTEMAS DISTRIBUÍDOS,A1,A1,IC,nao_informada,Flavia Delicato,Flavia Delicato,1,FLAVIA DELICATO,True,ativa,,5,224.095,dados/brutos/QH-2026-1.pdf
2026-1-TCC00362-A1,2026-1,TCC00362,TCC00362,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,A1,A1,IC,nao_informada,Flavia Delicato,Flavia Delicato,1,FLAVIA DELICATO,True,ativa,,5,252.655,dados/brutos/QH-2026-1.pdf
2026-1-TCC00316-A1,2026-1,TCC00316,TCC00316,TCC00316,SISTEMAS OPERACIONAIS,A1,A1,IC,nao_informada,Cristina Boeres,Cristina Boeres,1,MARIA BOERES,True,ativa,,5,281.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00242-A1,2026-1,TCC00242,TCC00242,TCC00242,TÓPICOS EM COMPUTAÇÃO II,A1,A1,IC,nao_informada,Martinhon,Martinhon,1,CARLOS MARTINHON,True,ativa,,5,309.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00253-A1,2026-1,TCC00253,TCC00253,TCC00253,TÓPICOS ESPECIAIS EM SISTEMAS DE PROGRAMAÇÃO I,A1,A1,IC,nao_informada,Marcelo Fornazin,Marcelo Fornazin,1,MARCELO FORNAZIN,True,ativa,,5,338.335,dados/brutos/QH-2026-1.pdf
2026-1-TCC00360-A1,2026-1,TCC00360,TCC00360,TCC00360,VISUALIZAÇÃO DE DADOS,A1,A1,IC,nao_informada,Marcos Lage,Marcos Lage,1,MARCOS LAGE,True,ativa,,5,366.895,dados/brutos/QH-2026-1.pdf
2026-1-TCC00205-A1,2026-1,TCC00205,TCC00205,TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,A1,A1,IC,obrigatoria_pos,Mario,Mario,1,MARIO BENEVIDES,True,ativa,,5,434.455,dados/brutos/QH-2026-1.pdf
2026-1-SEM-CODIGO-001-SEM-TURMA,2026-1,,,SEM-CODIGO-001,Pós: Algebra Linear Computacional,,,nao_identificada,obrigatoria_pos,Pedro,Pedro,1,PEDRO CORTEZ,True,ativa,codigo_ausente,5,469.975,dados/brutos/QH-2026-1.pdf
2026-1-TIC10001-SEM-TURMA,2026-1,TIC10001,TIC10001,TIC10001,Pós: Análise e Síntese de Algoritmos,,,IC,obrigatoria_pos,Luis Felipe,Luis Felipe,1,LUÍS FELIPE,True,ativa,,5,505.495,dados/brutos/QH-2026-1.pdf
2026-1-TIC10002-SEM-TURMA,2026-1,TIC10002,TIC10002,TIC10002,Pós: Estrutura de Dados e Algoritmos,,,IC,obrigatoria_pos,Rosseti,Rosseti,1,ISABEL ROSSETI,True,ativa,,6,56.215,dados/brutos/QH-2026-1.pdf
2026-1-TIC10003-SEM-TURMA,2026-1,TIC10003,TIC10003,TIC10003,Pós: Sistemas de Computação,,,IC,obrigatoria_pos,Lucia,Lucia,1,LÚCIA DRUMMOND,True,ativa,,6,91.735,dados/brutos/QH-2026-1.pdf
2026-1-TIC10005-SEM-TURMA,2026-1,TIC10005,TIC10005,TIC10005,Pós: Tratamento de Incertezas,,,IC,obrigatoria_pos,Guto,Guto,1,ANTONIO AUGUSTO,True,ativa,,6,127.255,dados/brutos/QH-2026-1.pdf
2026-1-TCC00319-A1,2026-1,TCC00319,TCC00319,TCC00319,ESTRUTURAS DE DADOS,A1,A1,IC,obrigatoria_outros_institutos,Mario,Mario,1,MARIO BENEVIDES,True,ativa,,6,198.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00319-B1,2026-1,TCC00319,TCC00319,TCC00319,ESTRUTURAS DE DADOS,B1,B1,IC,obrigatoria_outros_institutos,Pedro,Pedro,1,PEDRO CORTEZ,True,ativa,,6,233.815,dados/brutos/QH-2026-1.pdf
2026-1-TCC00320-A1,2026-1,TCC00320,TCC00320,TCC00320,INTRODUÇÃO A PROJETO DE BANCO DE DADOS,A1,A1,IC,obrigatoria_outros_institutos,Rodrigo,Rodrigo,1,RODRIGO SALVADOR,True,ativa,,6,269.335,dados/brutos/QH-2026-1.pdf
2026-1-TCC00320-B1,2026-1,TCC00320,TCC00320,TCC00320,INTRODUÇÃO A PROJETO DE BANCO DE DADOS,B1,B1,IC,obrigatoria_outros_institutos,Luiz Andre,Luiz Andre,1,LUIZ ANDRE,True,ativa,,6,304.855,dados/brutos/QH-2026-1.pdf
2026-1-TCC00328-C1,2026-1,TCC00328,TCC00328,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,C1,C1,IC,obrigatoria_outros_institutos,Carlos Ribeiro,Carlos Ribeiro,1,CARLOS RIBEIRO,True,ativa,,6,340.375,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-A1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,A1,A1,IC,servico,Aura,Aura,1,AURA CONCI,True,ativa,,6,411.415,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-B1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,B1,B1,IC,servico,Andre Brabo,Andre Brabo,1,ANDRE MAUES,True,ativa,,6,446.935,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-C1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,C1,C1,IC,servico,Ana Carolina,Ana Carolina,1,ANA CAROLINA,True,ativa,,6,482.455,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-D1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,D1,D1,IC,servico,Ana Carolina,Ana Carolina,1,ANA CAROLINA,True,ativa,,6,517.975,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-E1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,E1,E1,IC,servico,Helena,Helena,1,HELENA,True,ativa,,7,56.215,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-F1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,F1,F1,IC,servico,Helena,Helena,1,HELENA,True,ativa,,7,91.735,dados/brutos/QH-2026-1.pdf
2026-1-TCC00325-G1,2026-1,TCC00325,TCC00325,TCC00325,MÉTODOS NUMÉRICOS,G1,G1,IC,servico,Helena,Helena,1,HELENA,True,ativa,,7,127.255,dados/brutos/QH-2026-1.pdf
2026-1-TCC00326-D1,2026-1,TCC00326,TCC00326,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,D1,D1,IC,servico,Mauricio,Mauricio,1,MAURICIO PIRES,True,ativa,,7,162.775,dados/brutos/QH-2026-1.pdf
2026-1-TCC00326-D2,2026-1,TCC00326,TCC00326,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,D2,D2,IC,servico,Andre Renato,Andre Renato,1,ANDRE RENATO,True,ativa,,7,198.295,dados/brutos/QH-2026-1.pdf
2026-1-TCC00326-E1,2026-1,TCC00326,TCC00326,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,E1,E1,IC,servico,Andre Silveira,Andre Silveira,1,ANDRÉ SILVEIRA,True,ativa,,7,233.815,dados/brutos/QH-2026-1.pdf
