turma_id,semestre,codigo,disciplina,turma,correspondencia_2025,cursos_observados_2025,periodos_observados_2025,obrigatoria_em_algum_registro_2025,registros_correspondentes_2025,incorporado_como_fato_2026,fonte
2026-1-TCC00308-A1,2026-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,A1,True,31,CC-P1-A;CC-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00308-B1,2026-1,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,B1,True,31,CC-P1-A;CC-P1-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00356-A1,2026-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,A1,True,83,SI-P2;SI-P2-A;SI-P2-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00356-B1,2026-1,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,B1,True,83,SI-P2;SI-P2-A;SI-P2-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00347-X1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,X1,True,31,CC-P2-A;CC-P2-B,True,5,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00347-A1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,A1,True,31,CC-P2-A;CC-P2-B,True,5,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00347-B1,2026-1,TCC00347,PROGRAMAÇÃO ESTRUTURADA,B1,True,31,CC-P2-A;CC-P2-B,True,5,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00328-A1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,A1,True,31,CC-P3-A;CC-P3-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00328-B1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,B1,True,31,CC-P3-A;CC-P3-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00357-A1,2026-1,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,A1,True,83,SI-P4,True,3,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00335-A1,2026-1,TCC00335,PROJETO DE BANCO DE DADOS PARA SI,A1,True,83,SI-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00312-A1,2026-1,TCC00312,PROJETO DE SOFTWARE,A1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00338-A1,2026-1,TCC00338,PROJETO DE SOFTWARE,A1,True,83,SI-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00311-A1,2026-1,TCC00311,PROJETO FINAL II,A1,True,31,,False,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00365-A1,2026-1,TCC00365,QUALIDADE E TESTE DE SOFTWARE,A1,True,83,SI-P8,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00359-A1,2026-1,TCC00359,REDES DE COMPUTADORES,A1,True,83,SI-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00359-Z1,2026-1,TCC00359,REDES DE COMPUTADORES,Z1,True,83,SI-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00313-A1,2026-1,TCC00313,REDES DE COMPUTADORES I,A1,True,31,CC-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00314-A1,2026-1,TCC00314,REDES DE COMPUTADORES II,A1,True,31,CC-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00341-A1,2026-1,TCC00341,SEGURANÇA DA INFORMAÇÃO,A1,True,83,SI-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-CGI00004-A1,2026-1,CGI00004,SEMINÁRIOS EM SISTEMAS DE INFORMAÇÃO,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00358-A1,2026-1,TCC00358,SISTEMAS COMPUTACIONAIS,A1,True,83,SI-P3;SI-P3-A;SI-P3-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00358-B1,2026-1,TCC00358,SISTEMAS COMPUTACIONAIS,B1,True,83,SI-P3;SI-P3-A;SI-P3-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00315-A1,2026-1,TCC00315,SISTEMAS DISTRIBUÍDOS,A1,True,31,CC-P7,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00362-A1,2026-1,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,A1,True,83,SI-P5,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00316-A1,2026-1,TCC00316,SISTEMAS OPERACIONAIS,A1,True,31,CC-P4,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00242-A1,2026-1,TCC00242,TÓPICOS EM COMPUTAÇÃO II,A1,True,83,SI-P6,True,1,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00253-A1,2026-1,TCC00253,TÓPICOS ESPECIAIS EM SISTEMAS DE PROGRAMAÇÃO I,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00360-A1,2026-1,TCC00360,VISUALIZAÇÃO DE DADOS,A1,True,83,SI-P6,True,2,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00205-A1,2026-1,TCC00205,LINGUAGENS DE PROGRAMAÇÃO EM LÓGICA Pós: Lógica,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-001-SEM-TURMA,2026-1,,Pós: Algebra Linear Computacional,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TIC10001-SEM-TURMA,2026-1,TIC10001,Pós: Análise e Síntese de Algoritmos,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TIC10002-SEM-TURMA,2026-1,TIC10002,Pós: Estrutura de Dados e Algoritmos,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TIC10003-SEM-TURMA,2026-1,TIC10003,Pós: Sistemas de Computação,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TIC10005-SEM-TURMA,2026-1,TIC10005,Pós: Tratamento de Incertezas,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00319-A1,2026-1,TCC00319,ESTRUTURAS DE DADOS,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00319-B1,2026-1,TCC00319,ESTRUTURAS DE DADOS,B1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00320-A1,2026-1,TCC00320,INTRODUÇÃO A PROJETO DE BANCO DE DADOS,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00320-B1,2026-1,TCC00320,INTRODUÇÃO A PROJETO DE BANCO DE DADOS,B1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00328-C1,2026-1,TCC00328,PROGRAMAÇÃO ORIENTADA A OBJETOS,C1,True,31,CC-P3-A;CC-P3-B,True,4,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-A1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-B1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,B1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-C1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,C1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-D1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,D1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-E1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,E1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-F1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,F1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00325-G1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,G1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-D1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,D1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-D2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,D2,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-E1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,E1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-F1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,F1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-F2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,F2,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-F3,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,F3,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-G1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,G1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-G2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,G2,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-G3,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,G3,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-G4,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,G4,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-H1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,H1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-H2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,H2,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-H3,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,H3,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-H4,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,H4,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-J1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,J1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00326-J2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,J2,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00280-A1,2026-1,TCC00280,COMPUTAÇÃO E MEIO AMBIENTE,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-TCC00195-A1,2026-1,TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,A1,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-002-SEM-TURMA,2026-1,,Pós: Aprendizado Profundo e Física Computacional,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-003-SEM-TURMA,2026-1,,Pós: Ciência Aberta,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-004-SEM-TURMA,2026-1,,Pós: Desenvolvimento de jogos e realidade virtual,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-005-SEM-TURMA,2026-1,,Pós: Métodos Computacionais para a Propagação de Ondas,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
2026-1-SEM-CODIGO-006-SEM-TURMA,2026-1,,Pós: Otimização em Grafos,,False,,,,0,False,proxy histórico de turmas_2025.csv; requer validação curricular para 2026
