turma_id,semestre,codigo,turma,encontro,dia,inicio,fim,sala,horario_original,sala_original,valor_original,pagina_pdf,arquivo_origem
2026-1-TCC00308-B1,2026-1,TCC00308,B1,2,quarta,16:00,18:00,L307,16:00-18:00,LAB. 307,16:00-18:00 LAB. 307,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00356-A1,2026-1,TCC00356,A1,1,segunda,18:00,20:00,L303,18:00-20:00,LAB. 303,18:00-20:00 LAB. 303,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00356-A1,2026-1,TCC00356,A1,2,quarta,18:00,20:00,317,18:00-20:00,SALA 317,18:00-20:00 SALA 317,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00356-B1,2026-1,TCC00356,B1,1,segunda,20:00,22:00,L303,20:00-22:00,LAB. 303,20:00-22:00 LAB. 303,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00356-B1,2026-1,TCC00356,B1,2,quarta,20:00,22:00,317,20:00-22:00,SALA 317,20:00-22:00 SALA 317,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-X1,2026-1,TCC00347,X1,1,terca,09:00,11:00,204,09:00-11:00,SALA 204,09:00-11:00 SALA 204,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-X1,2026-1,TCC00347,X1,2,quinta,09:00,11:00,204,09:00-11:00,SALA 204,09:00-11:00 SALA 204,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-A1,2026-1,TCC00347,A1,1,terca,09:00,11:00,L306,09:00-11:00,LAB. 306,09:00-11:00 LAB. 306,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-A1,2026-1,TCC00347,A1,2,quinta,09:00,11:00,202,09:00-11:00,SALA 202,09:00-11:00 SALA 202,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-B1,2026-1,TCC00347,B1,1,terca,09:00,11:00,202,09:00-11:00,SALA 202,09:00-11:00 SALA 202,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00347-B1,2026-1,TCC00347,B1,2,quinta,09:00,11:00,L306,09:00-11:00,LAB. 306,09:00-11:00 LAB. 306,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00328-A1,2026-1,TCC00328,A1,1,segunda,11:00,13:00,302,11:00-13:00,SALA 302,11:00-13:00 SALA 302,4,dados/brutos/QH-2026-1.pdf
2026-1-TCC00328-A1,2026-1,TCC00328,A1,2,quarta,11:00,13:00,L304,11:00-13:00,LAB. 304,11:00-13:00 LAB. 304,4,dados/brutos/QH-2026-1.pdf
