turma_id,semestre,codigo,disciplina,periodo,exige_laboratorio,recursos_requeridos,fontes
2025-1-TCC00212-A1,2025-1,TCC00212,Ementa Variável II / EMPREENDEDORISMO,SI-P7,False,,sala_observada
2025-1-GCI00126-,2025-1,GCI00126,REPRESENTAÇÃO DA INFORMAÇÃO,SI-P5,False,,sala_observada
2025-1-GCI00116-,2025-1,GCI00116,ÉTICA,SI-P4,False,,sala_observada
2025-2-TCC00284-A1,2025-2,TCC00284,ALGORITMOS EM GRAFOS,CC-P6,False,,sala_observada
2025-2-TCC00285-A1,2025-2,TCC00285,ANÁLISE E PROJETO DE ALGORITMOS,CC-P5,False,,sala_observada
2025-2-TCC00286-A1,2025-2,TCC00286,ARQUITETURAS DE COMPUTADORES,CC-P3-A,False,,sala_observada
2025-2-TCC00286-B1,2025-2,TCC00286,ARQUITETURAS DE COMPUTADORES,CC-P3-B,False,,sala_observada
2025-2-TCC00349-A1,2025-2,TCC00349,AVALIAÇÃO DE DESEMPENHO,CC-P5,False,,sala_observada
2025-2-TCC00336-A1,2025-2,TCC00336,BANCO DE DADOS NÃO CONVENCIONAIS,SI-P6,False,,sem_evidencia_de_laboratorio
2025-2-TCC00287-A1,2025-2,TCC00287,BANCO DE DADOS I,CC-P4,False,,sala_observada
2025-2-TCC00288-A1,2025-2,TCC00288,BANCO DE DADOS II,CC-P5,False,,sala_observada_codigo_misto
2025-2-TCC00289-A1,2025-2,TCC00289,COMPILADORES,CC-P7,False,,sala_observada
2025-2-TCC00290-A1,2025-2,TCC00290,COMPUTAÇÃO E SOCIEDADE,CC-P8,False,,sala_observada
2025-2-TCC00222-A1,2025-2,TCC00222,COMPUTAÇÃO E SOCIEDADE PARA SISTEMAS DE INFORMAÇÃO,SI-P8,False,,sala_observada
2025-2-TCC00291-A1,2025-2,TCC00291,COMPUTAÇÃO GRÁFICA,CC-P6,False,,sala_observada
2025-2-TCC00226-A1,2025-2,TCC00226,DESENVOLVIMENTO WEB,CC-P5,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00368-A1,2025-2,TCC00368,P.O. PARA S.I. (WEB AVANC.),SI-P7,False,,sala_observada
2025-2-TCC00225-A1,2025-2,TCC00225,ENGENHARIA DE SOFTWARE,SI-P5,False,,sem_evidencia_de_laboratorio
2025-2-TCC00292-A1,2025-2,TCC00292,ENGENHARIA DE SOFTWARE I,CC-P4,False,,sala_observada
2025-2-TCC00293-A1,2025-2,TCC00293,ENGENHARIA DE SOFTWARE II,CC-P6,False,,sala_observada
2025-2-TCC00348-A1,2025-2,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,CC-P3-A,False,,sala_observada
2025-2-TCC00331-A1,2025-2,TCC00331,ESTRUTURAS DE DADOS PARA SISTEMAS DE INFORMAÇÃO,SI-P3,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00296-A1,2025-2,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,CC-P1-A,False,,sala_observada
2025-2-TCC00296-B1,2025-2,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,CC-P1-B,False,,sala_observada
2025-2-TCC00332-A1,2025-2,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,SI-P1,False,,sala_observada
2025-2-TCC00332-B1,2025-2,TCC00332,FUNDAMENTOS DE SISTEMAS DE INFORMAÇÃO,SI-P1,False,,sala_observada
2025-2-TCC00354-A1,2025-2,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,SI-P1,False,,sala_observada
2025-2-TCC00354-B1,2025-2,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMPUTAÇÃO,SI-P1,False,,sala_observada
2025-2-TCC00363-A1,2025-2,TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,SI-P7,False,,sala_observada
2025-2-TCC00324-A1,2025-2,TCC00324,GOVERNANÇA EM TECNOLOGIA DA INFORMAÇÃO,SI-P8,False,,sala_observada
2025-2-TCC00297-A1,2025-2,TCC00297,INTELIGÊNCIA ARTIFICIAL,CC-P7,False,,sala_observada
2025-2-TCC00298-A1,2025-2,TCC00298,INTERFACE HOMEM MAQUINA,CC-P7,False,,sala_observada
2025-2-TCC00337-A1,2025-2,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,SI-P5,False,,sem_evidencia_de_laboratorio
2025-2-TCC00361-A1,2025-2,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,SI-P6,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00300-A-A/B-A,2025-2,TCC00300,LABORATÓRIO DE DISPOSITIVOS MÓVEIS,CC-P4,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00301-A-A/B-A,2025-2,TCC00301,LABORATÓRIO DE PROGRAMAÇÃO DE JOGOS,CC-P2,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00344-A1,2025-2,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA,CC-P7,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00346-A-A/C-A,2025-2,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,CC-P1-A,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00346-B-A/D-A,2025-2,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,CC-P1-B,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00355-E-A,2025-2,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,SI-P1,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00355-F-A,2025-2,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,SI-P1,True,laboratorio,codigo_historico_somente_laboratorio
2025-2-TCC00304-A1,2025-2,TCC00304,LINGUAGENS DE PROGRAMAÇÃO,CC-P4,False,,sala_observada
2025-2-TCC00305-A1,2025-2,TCC00305,LINGUAGENS FORMAIS E TEORIA DA COMPUTAÇÃO,CC-P6,False,,sala_observada
2025-2-TCC00306-A1,2025-2,TCC00306,METODOS NUMERICOS,CC-P4,False,,sala_observada
2025-2-TCC00330-A1,2025-2,TCC00330,MODELAGEM DE PROCESSO DE NEGÓCIOS,SI-P7,False,,sala_observada
2025-2-TCC00318-A1,2025-2,TCC00318,PESQUISA OPERACIONAL,CC-P7,False,,sem_evidencia_de_laboratorio
2025-2-TCC00334-A1,2025-2,TCC00334,PRINCIPIO DE BANCO DE DADOS,SI-P4,False,,sala_observada
2025-2-TCC00307-A1,2025-2,TCC00307,PROGRAMAÇÃO CIENTÍFICA,CC-P6,False,,sala_observada
2025-2-TCC00366-A1,2025-2,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,SI-P1,False,,sala_observada_codigo_misto
2025-2-TCC00366-B1,2025-2,TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,SI-P1,False,,sala_observada_codigo_misto
2025-2-TCC00308-A1,2025-2,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,CC-P1-A,False,,sala_observada_codigo_misto
2025-2-TCC00308-B1,2025-2,TCC00308,PROGRAMAÇÃO DE COMPUTADORES I,CC-P1-B,False,,sala_observada_codigo_misto
2025-2-TCC00356-A1,2025-2,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,SI-P2,True,laboratorio,sala_observada_codigo_misto
2025-2-TCC00356-B1,2025-2,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,SI-P2,True,laboratorio,sala_observada_codigo_misto
