codigo,disciplina,usou_sala_comum,usou_laboratorio,alternou_tipo_de_sala,salas_observadas,requer_laboratorio,recursos_requeridos,fonte,validado
TCC00349,AVALIAÇÃO DE DESEMPENHO,True,False,False,213,,,horarios_2026_cc_si.csv,
TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,True,False,False,308;313,,,horarios_2026_cc_si.csv,
TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,False,True,False,L304;L306;L307,,,horarios_2026_cc_si.csv,
TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,True,True,True,317;L303,,,horarios_2026_cc_si.csv,
TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,True,False,False,206,,,horarios_2026_cc_si.csv,
TCC00357,PROG. ORIENTADA A OBJETOS I,True,False,False,215,,,horarios_2026_cc_si.csv,
TCC00358,SISTEMAS COMPUTACIONAIS,True,False,False,306;319,,,horarios_2026_cc_si.csv,
TCC00359,REDES DE COMPUTADORES,True,False,False,215;319,,,horarios_2026_cc_si.csv,
TCC00360,VISUALIZAÇÃO DE DADOS,True,False,False,206;319,,,horarios_2026_cc_si.csv,
TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,True,False,False,302;404B,,,horarios_2026_cc_si.csv,
TCC00362,SISTEMAS DISTRIBUÍDOS PARA SI,True,False,False,204,,,horarios_2026_cc_si.csv,
TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,True,False,False,321,,,horarios_2026_cc_si.csv,
TCC00363,GERÊNCIA DE PROJETOS E MANUT DE SOFTWARE,True,False,False,202;302,,,horarios_2026_cc_si.csv,
TCC00365,QUALIDADE E TESTE DE SOFTWARE,True,True,True,302;L304,,,horarios_2026_cc_si.csv,
TCC00366,PROGRAMAÇÃO DE COMPUTADORES I,True,True,True,306;308;404B;L302;L306,,,horarios_2026_cc_si.csv,
TCC00368,PESQUISA OPERACIONAL PARA SISTEMAS DE INFORMAÇÃO,True,False,False,217,,,horarios_2026_cc_si.csv,
TCC00368,P.O. PARA S.I. (WEB AVANC.),True,False,False,217,,,horarios_2026_cc_si.csv,
TCC00371,ÉTICA EM INT. ARTIFICIAL E CIÊNCIA DE DADOS,True,False,False,308,,,horarios_2026_cc_si.csv,
