turma_id,semestre,codigo,disciplina_pdf,turma_pdf,turma_web,turma_url,metodo_vinculo,docentes_web,horario_web,cursos_busca,codigos_cursos_com_vagas,vagas,inscritos,vagas_cc,inscritos_cc,vagas_si,inscritos_si,vagas_outros_cursos,inscritos_outros_cursos,compartilhada_vagas_cc_si,curriculos,grupos_curriculares,compartilhada_curriculos_cc_si,obrigatoria,vagas_por_curso_json,fonte
2026-1-TCC00286-A1,2026-1,TCC00286,ARQUITETURAS DE COMPUTADORES,A1,A1,/graduacao/quadrodehorarios/turmas/100000447037,turma_e_encontros_exatos,,Ter 09:00-11:00; Qui 09:00-11:00,CC,31,66,63,66,63,0,0,0,0,False,CC,CC-P3,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":65,""vagas_vestibulando"":1,""vagas"":66,""inscritos_regular"":62,""inscritos_vestibulando"":1,""inscritos"":63}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00287-A1,2026-1,TCC00287,BANCO DE DADOS I,A1,A1,/graduacao/quadrodehorarios/turmas/100000447042,turma_e_encontros_exatos,,Ter 07:00-09:00; Qui 07:00-09:00,CC,20;31;42,63,22,58,19,0,0,5,3,False,CC,CC-P4,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":58,""vagas_vestibulando"":0,""vagas"":58,""inscritos_regular"":19,""inscritos_vestibulando"":0,""inscritos"":19},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":3,""vagas_vestibulando"":0,""vagas"":3,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""42"",""curso"":""Engenharia de Produção"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":2,""inscritos_vestibulando"":0,""inscritos"":2}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00288-A1,2026-1,TCC00288,BANCO DE DADOS II,A1,A1,/graduacao/quadrodehorarios/turmas/100000447043,turma_e_encontros_exatos,,Seg 07:00-09:00; Qua 07:00-09:00,CC,20;31;83,84,78,76,72,6,6,2,0,True,CC,CC-P5,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":76,""vagas_vestibulando"":0,""vagas"":76,""inscritos_regular"":72,""inscritos_vestibulando"":0,""inscritos"":72},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":6,""vagas_vestibulando"":0,""vagas"":6,""inscritos_regular"":6,""inscritos_vestibulando"":0,""inscritos"":6}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00289-A1,2026-1,TCC00289,COMPILADORES,A1,A1,/graduacao/quadrodehorarios/turmas/100000447044,turma_e_encontros_exatos,,Seg 09:00-11:00; Qua 09:00-11:00,CC;SI,31;83,61,54,60,54,1,0,0,0,True,CC,CC-P7,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":60,""vagas_vestibulando"":0,""vagas"":60,""inscritos_regular"":54,""inscritos_vestibulando"":0,""inscritos"":54},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":0,""inscritos"":0}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00290-A1,2026-1,TCC00290,COMPUTAÇÃO E SOCIEDADE,A1,A1,/graduacao/quadrodehorarios/turmas/100000447045,turma_e_encontros_exatos,,Qui 11:00-13:00,CC,31,50,47,50,47,0,0,0,0,False,CC,CC-P8,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":50,""vagas_vestibulando"":0,""vagas"":50,""inscritos_regular"":47,""inscritos_vestibulando"":0,""inscritos"":47}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00291-A1,2026-1,TCC00291,COMPUTAÇÃO GRÁFICA,A1,A1,/graduacao/quadrodehorarios/turmas/100000447047,turma_e_encontros_exatos,,Seg 11:00-13:00; Qua 11:00-13:00,CC,20;31,51,40,50,39,0,0,1,1,False,CC,CC-P6,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":50,""vagas_vestibulando"":0,""vagas"":50,""inscritos_regular"":39,""inscritos_vestibulando"":0,""inscritos"":39},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00292-A1,2026-1,TCC00292,ENGENHARIA DE SOFTWARE I,A1,A1,/graduacao/quadrodehorarios/turmas/100000447052,turma_e_encontros_exatos,,Seg 09:00-11:00; Qua 09:00-11:00,CC,31;83,66,37,60,32,6,5,0,0,True,CC,CC-P4,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":60,""vagas_vestibulando"":0,""vagas"":60,""inscritos_regular"":32,""inscritos_vestibulando"":0,""inscritos"":32},{""codigo_curso"":""83"",""curso"":""Sistemas de Informação"",""vagas_regular"":6,""vagas_vestibulando"":0,""vagas"":6,""inscritos_regular"":5,""inscritos_vestibulando"":0,""inscritos"":5}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00293-A1,2026-1,TCC00293,ENGENHARIA DE SOFTWARE II,A1,A1,/graduacao/quadrodehorarios/turmas/100000447053,turma_e_encontros_exatos,,Seg 09:00-11:00; Qua 09:00-11:00,CC,31,61,59,61,59,0,0,0,0,False,CC,CC-P6,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":61,""vagas_vestibulando"":0,""vagas"":61,""inscritos_regular"":59,""inscritos_vestibulando"":0,""inscritos"":59}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00296-A1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,A1,A1,/graduacao/quadrodehorarios/turmas/100000447059,turma_e_encontros_exatos,,Ter 14:00-16:00; Qui 14:00-16:00,CC,20;25;31,63,55,60,53,0,0,3,2,False,CC,CC-P1,False,True,"[{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":11,""vagas_vestibulando"":49,""vagas"":60,""inscritos_regular"":8,""inscritos_vestibulando"":45,""inscritos"":53},{""codigo_curso"":""25"",""curso"":""Física"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":2,""vagas_vestibulando"":0,""vagas"":2,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
2026-1-TCC00296-B1,2026-1,TCC00296,FUNDAMENTOS DE ARQUITETURAS DE COMPUTADORES,B1,B1,/graduacao/quadrodehorarios/turmas/100000447060,turma_e_encontros_exatos,,Ter 07:00-09:00; Qui 07:00-09:00,CC,123;20;31;41,52,34,30,14,0,0,22,20,False,CC,CC-P1,False,True,"[{""codigo_curso"":""123"",""curso"":""Inteligência Artificial e Ciência de Dados"",""vagas_regular"":0,""vagas_vestibulando"":20,""vagas"":20,""inscritos_regular"":0,""inscritos_vestibulando"":18,""inscritos"":18},{""codigo_curso"":""31"",""curso"":""Ciência da Computação"",""vagas_regular"":20,""vagas_vestibulando"":10,""vagas"":30,""inscritos_regular"":13,""inscritos_vestibulando"":1,""inscritos"":14},{""codigo_curso"":""41"",""curso"":""Engenharia de Telecomunicações"",""vagas_regular"":0,""vagas_vestibulando"":1,""vagas"":1,""inscritos_regular"":0,""inscritos_vestibulando"":1,""inscritos"":1},{""codigo_curso"":""20"",""curso"":""Matemática"",""vagas_regular"":1,""vagas_vestibulando"":0,""vagas"":1,""inscritos_regular"":1,""inscritos_vestibulando"":0,""inscritos"":1}]",webscrap/turmas_2026_raw.csv + dados/processados/turmas_2026.csv
