codigo,tipos_cc,periodos_cc,grupos_cc,tipos_si,periodos_si,grupos_si,oferta_compartilhada_inferida,criterio
TCC00251,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00252,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00253,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00254,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00255,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00256,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00257,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00258,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00259,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00260,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00261,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00262,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00263,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00264,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00265,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00266,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00267,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00268,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00269,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00270,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00271,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00272,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00273,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00274,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00275,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00276,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00280,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00300,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00301,obrigatoria;optativa,2,CC-OPT;CC-P2,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00303,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TCC00320,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TEP00006,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TEP00108,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TEP00111,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
TEP00124,optativa,,CC-OPT,optativa,,SI-OPT,True,interseção dos códigos em dados/grade_cc.md e dados/grade_si.md
