id,semestre,curso,periodo,grupos_curriculares,codigo,disciplina,turma,turma_pdf,origem,alocacao,professores,capacidade,inscritos,obrigatoria,compartilhada_cc_si,compartilhada_vagas_cc_si,turma_url,metodo_vinculo
2026-1-TCC00337-A1,2026-1,SI,,SI-P5,TCC00337,INTRODUÇÃO A INTERAÇÃO HUMANO-COMPUTADOR,A1,A1,IC,Luciana,Luciana,57,57,True,False,True,/graduacao/quadrodehorarios/turmas/100000447072,turma_e_encontros_exatos
2026-1-TCC00338-A1,2026-1,SI,,SI-P6,TCC00338,PROJETO DE SOFTWARE,A1,A1,IC,Joao Pimentel,Joao Pimentel,52,48,True,False,True,/graduacao/quadrodehorarios/turmas/100000447096,turma_e_encontros_exatos
2026-1-TCC00341-A1,2026-1,SI,,SI-P7,TCC00341,SEGURANÇA DA INFORMAÇÃO,A1,A1,IC,Raphael Machado,Raphael Machado,53,53,True,False,False,/graduacao/quadrodehorarios/turmas/100000447102,turma_e_encontros_exatos
2026-1-TCC00344-AA,2026-1,CC,,CC-P7,TCC00344,LABORATÓRIO DE PROGRAMAÇÃO PARALELA I,AA,AA,IC,Lucia,Lucia,60,48,True,False,False,/graduacao/quadrodehorarios/turmas/100000447218,turma_e_encontros_exatos
2026-1-TCC00346-AA,2026-1,CC,,CC-P1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,AA,AA,IC,Leandro Fernandes,Leandro Fernandes,35,34,True,False,False,/graduacao/quadrodehorarios/turmas/100000447214,turma_e_encontros_exatos
2026-1-TCC00346-BA,2026-1,CC,,CC-P1,TCC00346,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,BA,BA,IC,Leandro Fernandes,Leandro Fernandes,35,25,True,False,False,/graduacao/quadrodehorarios/turmas/100000447215,turma_e_encontros_exatos
2026-1-TCC00347-A1,2026-1,CC,,CC-P2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,A1,A1,IC,Yuri,Yuri,45,43,True,False,False,/graduacao/quadrodehorarios/turmas/100000447088,turma_e_encontros_exatos
2026-1-TCC00347-B1,2026-1,CC,,CC-P2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,B1,B1,IC,Aline Nascimento,Aline Nascimento,47,46,True,False,False,/graduacao/quadrodehorarios/turmas/100000447089,turma_e_encontros_exatos
2026-1-TCC00347-X1,2026-1,CC,,CC-P2,TCC00347,PROGRAMAÇÃO ESTRUTURADA,X1,X1,IC,Cristina Boeres,Cristina Boeres,47,33,True,False,False,/graduacao/quadrodehorarios/turmas/100000451291,turma_e_encontros_exatos
2026-1-TCC00348-A1,2026-1,CC,,CC-P3,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,A1,A1,IC,Rosseti,Rosseti,52,28,True,False,False,/graduacao/quadrodehorarios/turmas/100000447054,turma_e_encontros_exatos
2026-1-TCC00348-B1,2026-1,CC,,CC-P3,TCC00348,ESTRUTURAS DE DADOS E SEUS ALGORITMOS,B1,B1,IC,Vanessa,Vanessa,41,40,True,False,False,/graduacao/quadrodehorarios/turmas/100000447055,turma_e_encontros_exatos
2026-1-TCC00349-A1,2026-1,CC,,CC-P5,TCC00349,AVALIAÇÃO DE DESEMPENHO,A1,A1,IC,Guto,Guto,60,48,True,False,False,/graduacao/quadrodehorarios/turmas/100000447039,turma_e_encontros_exatos
2026-1-TCC00354-A1,2026-1,SI,,SI-P1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,A1,A1,IC,Raquel,Raquel,50,42,True,False,False,/graduacao/quadrodehorarios/turmas/100000447067,turma_e_encontros_exatos
2026-1-TCC00354-B1,2026-1,SI,,SI-P1,TCC00354,FUNDAMENTOS MATEMÁTICOS PARA COMP.,B1,B1,IC,Martinhon,Martinhon,46,35,True,False,False,/graduacao/quadrodehorarios/turmas/100000447066,turma_e_encontros_exatos
2026-1-TCC00355-EA,2026-1,SI,,SI-P1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,EA,EA,IC,Mauricio,Mauricio,45,38,True,False,False,/graduacao/quadrodehorarios/turmas/100000447231,turma_e_encontros_exatos
2026-1-TCC00355-FA,2026-1,SI,,SI-P1,TCC00355,LABORATÓRIO DE RESOLUÇÃO DE PROBLEMAS,FA,FA,IC,Andre Silveira,Andre Silveira,45,35,True,False,False,/graduacao/quadrodehorarios/turmas/100000447232,turma_e_encontros_exatos
2026-1-TCC00356-A1,2026-1,SI,,SI-P2,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,A1,A1,IC,Patrick,Patrick,46,35,True,False,False,/graduacao/quadrodehorarios/turmas/100000447086,turma_e_encontros_exatos
2026-1-TCC00356-B1,2026-1,SI,,SI-P2,TCC00356,PROGRAMAÇÃO DE COMPUTADORES II,B1,B1,IC,Patrick,Patrick,46,34,True,False,False,/graduacao/quadrodehorarios/turmas/100000447087,turma_e_encontros_exatos
2026-1-TCC00357-A1,2026-1,SI,,SI-P4,TCC00357,PROGRAMAÇÃO ORIENTADA A OBJETOS I,A1,A1,IC,Andre Renato,Andre Renato,66,41,True,False,False,/graduacao/quadrodehorarios/turmas/100000447093,turma_e_encontros_exatos
2026-1-TCC00358-A1,2026-1,SI,,SI-P3,TCC00358,SISTEMAS COMPUTACIONAIS,A1,A1,IC,Raphael Guerra,Raphael Guerra,50,46,True,False,True,/graduacao/quadrodehorarios/turmas/100000447103,turma_e_encontros_exatos
2026-1-TCC00358-B1,2026-1,SI,,SI-P3,TCC00358,SISTEMAS COMPUTACIONAIS,B1,B1,IC,Aline Nascimento,Aline Nascimento,50,39,True,False,False,/graduacao/quadrodehorarios/turmas/100000447104,turma_e_encontros_exatos
2026-1-TCC00359-A1,2026-1,SI,,SI-P4,TCC00359,REDES DE COMPUTADORES,A1,A1,IC,Flavio Seixas,Flavio Seixas,70,69,True,False,False,/graduacao/quadrodehorarios/turmas/100000447099,turma_e_encontros_exatos
2026-1-TCC00359-Z1,2026-1,SI,,SI-P4,TCC00359,REDES DE COMPUTADORES,Z1,Z1,IC,Igor Moraes,Igor Moraes,21,12,True,False,False,/graduacao/quadrodehorarios/turmas/100000448455,turma_e_encontros_exatos
2026-1-TCC00360-A1,2026-1,SI,,SI-P6,TCC00360,VISUALIZAÇÃO DE DADOS,A1,A1,IC,Marcos Lage,Marcos Lage,60,57,True,False,False,/graduacao/quadrodehorarios/turmas/100000447108,turma_e_encontros_exatos
2026-1-TCC00361-A1,2026-1,SI,,SI-P6,TCC00361,INTRODUÇÃO AO DESENVOLVIMENTO WEB,A1,A1,IC,Paulo Pires,Paulo Pires,41,41,True,False,False,/graduacao/quadrodehorarios/turmas/100000447073,turma_e_encontros_exatos
2026-1-TCC00362-A1,2026-1,SI,,SI-P5,TCC00362,SISTEMAS DISTRIBUÍDOS PARA SISTEMAS DE INFORMAÇÃO,A1,A1,IC,Flavia Delicato,Flavia Delicato,57,50,True,False,True,/graduacao/quadrodehorarios/turmas/100000447106,turma_e_encontros_exatos
