turma_id,semestre,codigo,disciplina,usa_laboratorio_observado,recursos_observados,observacao_fontes,exige_laboratorio,recursos_requeridos,requisito_fonte
2026-1-TCC00325-B1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00325-C1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00325-D1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00325-E1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00325-F1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00325-G1,2026-1,TCC00325,MÉTODOS NUMÉRICOS,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-D1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-D2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-E1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-F1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-F2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-F3,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-G1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-G2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-G3,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-G4,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-H1,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-H2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-H3,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-H4,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00326-J2,2026-1,TCC00326,PROGRAMAÇÃO DE COMPUTADORES,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00280-A1,2026-1,TCC00280,COMPUTAÇÃO E MEIO AMBIENTE,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00195-A1,2026-1,TCC00195,METAHEURÍSTICAS Pós: Inteligência Computacional,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-002-SEM-TURMA,2026-1,,Pós: Aprendizado Profundo e Física Computacional,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-003-SEM-TURMA,2026-1,,Pós: Ciência Aberta,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-004-SEM-TURMA,2026-1,,Pós: Desenvolvimento de jogos e realidade virtual,True,laboratorio,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-005-SEM-TURMA,2026-1,,Pós: Métodos Computacionais para a Propagação de Ondas,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-006-SEM-TURMA,2026-1,,Pós: Otimização em Grafos,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-007-SEM-TURMA,2026-1,,Pós: Redes de Computadores,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-008-SEM-TURMA,2026-1,,Pós: UX Design - Aplicando IA no Processo Criativo Centrado no Humano,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-SEM-CODIGO-009-SEM-TURMA,2026-1,,Pós: Visualização de Dados,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00244-A1,2026-1,TCC00244,TÓPICOS EM BANCO DE DADOS I Pós: eScience,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00241-A1,2026-1,TCC00241,TÓPICOS EM COMPUTAÇÃO I Pós: Visão Computacional,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00250-A1,2026-1,TCC00250,TÓPICOS EM ENGENHARIA DE SOFWARE I Pós: Game Analytics,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00251-A1,2026-1,TCC00251,TÓPICOS EM ENGENHARIA DE SOFWARE II Pós: Controle de Versão,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00259-A1,2026-1,TCC00259,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL I Aprendizado Profundo,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
2026-1-TCC00260-A1,2026-1,TCC00260,TÓPICOS EM INTELIGÊNCIA ARTIFICIAL II Pós: Aprendizado de Máquina,False,,tipo_da_sala_inferido_exclusivamente_do_prefixo_observado,,,não disponível nos PDFs
